idShopi,sku,margen_db,costo_db,margen_comparacion_db
8639730712853,H02,0.00,0,0.00
8639731073301,FS005,0.00,0,0.00
8639731269909,C31,0.00,0,0.00
8639731499285,FN7918,0.00,0,0.00
8639731728661,AHLED,0.00,0,0.00
8639732220181,FN060,0.00,0,0.00
8639732416789,FN030,0.00,0,0.00
8639732678933,FN050,0.00,0,0.00
8639732875541,2021,0.00,0,0.00
8639733039381,VE2021,0.00,0,0.00
8639733203221,VS2021,0.00,0,0.00
8639733301525,VS2021+BG2021,0.00,0,0.00
8639733432597,VS2022+BG2021,0.00,0,0.00
8639733694741,BP2021,0.00,0,0.00
8639733891349,ZW-S-1,0.00,0,0.00
8652848562453,C2311,0.00,0,0.00
8827118747925,DB03,0.00,0,0.00
8831009161493,86888B,0.00,0,0.00
8857616875797,49B,0.00,0,0.00
9016688836885,G002,0.00,0,0.00
